payee,category,work_details,lpo_number,plo_sum,invoice_number,date_recorded,start_date,end_date,completion_status,cumulative_amount_invoiced,amount_paid,outstanding_amount,verified,comments,support_documents,,
Jemax General Supplies,Recurrent,supply of curtains and curtain  nets,2273188," 100,000.00 ",025,4/24/2017,,,Complete,"100,000.00",," 100,000.00 ",,,√  ,,
Jemax General Supplies,Recurrent,provision of tent services,2273185," 50,000.00 ",026,4/24/2017,,,Complete,"50,000.00",," 50,000.00 ",,,√  ,,
Jemax General Supplies,Recurrent,supply of stationeries,,,,,,,Complete,,," 282,130.00 ",,missing voucher,X,,
Josca systems solution,Recurrent,Computer repair,1201183," 80,000.00 ",562,27/4/2017,,,Complete,"80,000.00", -   ," 80,000.00 ",,original document,√  ,,
Joscar System Solutions,Recurrent,Repair and servicing of computers,Not Attached,,562,4/27/2016,,,Complete,"80,000.00",," 80,000.00 ",,,X,,
Joysam  Transporters,Recurrent,Hire of transport Taqua FC to Meru,1335814," 80,000.00 ",03,4/21/2016,,,Complete,"80,000.00", -   ," 80,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Isiolo Youth FC to Kitui,1335823," 210,000.00 ",76,7/29/2016,,,Complete,"210,000.00", -   ," 210,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Isiolo Youth FC to Takaye Primary,1335815," 80,000.00 ",4,4/15/2016,,,Complete,"80,000.00", -   ," 80,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Isiolo Youth FC to Mombasa & Malindi,1335828," 600,000.00 ",39,6/13/2016,,,Complete,"600,000.00", -   ," 600,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Isiolo Youth FC to Matuu,1335817," 210,000.00 ",30,5/16/2016,,,Complete,"210,000.00", -   ," 210,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Al Hidaya FC to Mwatate & Kilifi,1335824," 600,000.00 ",70,7/28/2016,,,Complete,"600,000.00",," 600,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Isiolo Youth FC to Daystar,1335819," 210,000.00 ",42,6/24/2016,,,Complete,"210,000.00",," 210,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Isiolo Youth FC to Mombasa & Kilifi,1335818," 600,000.00 ",34,5/19/2016,,,Complete,"600,000.00",," 600,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Al Hidaya FC to Meru,1335827," 80,000.00 ",55,7/8/2016,,,Complete,"80,000.00",," 80,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Isiolo Youth FC to Mombasa & Kilifi,1335822," 600,000.00 ",50,7/5/2016,,,Complete,"600,000.00",," 600,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Isiolo Youth FC to Embu,1335821," 140,000.00 ",48,6/7/2016,,,Complete,"140,000.00",," 140,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Isiolo Youth FC to Takaye Pri,1335825," 280,000.00 ",65,7/21/2016,,,Complete,"280,000.00",," 280,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Al Hidaya FC to Daystar Nairobi,1335820," 210,000.00 ",45,6/23/2016,,,Complete,"210,000.00",," 210,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Al Hidaya FC to Nairobi,1335826," 280,000.00 ",60,7/15/2016,,,Complete,"280,000.00",," 280,000.00 ",Complete,original documents  attached.,√  ,,
Joysam  Transporters,Recurrent,Hire of transport Isiolo Youth FC to Meru,1335816," 210,000.00 ",10,4/21/2016,,,Complete,"210,000.00",," 210,000.00 ",Complete,original documents  attached.,√  ,,
Joysam Transporters and Construction,Recurrent,Car hire Taqwa FC to Mombasa,1201209," 600,000.00 ",13,11/24/2016,,,Complete,"600,000.00", -   ," 600,000.00 ",,original document,√  ,,
Joysam Transporters and Construction Company,Development,Construction of ECD classroom at Waso Primary School,ICG/ECD/316/2016/2017," 1,195,230.00 ",20,6/19/2017,,,Complete,"1,195,230.00",," 1,195,230.00 ",,original,√  ,,
Jubale General ,Recurrent,Supply of pharmaceutical goods,2196625," 1,490,000.00 ",14789,11/05/2017,21/04/2017,11/05/2017,,"1,490,000.00", -   ," 1,490,000.00 ",,original,√  ,,
Jubalee General Suppliers Limited,Development,Supply of Grass Seeds,ICG/028/2016/2017," 1,530,000.00 ",101,12/13/2016,42699,,Complete,"1,530,000.00", -   ," 1,530,000.00 ",,,√  ,Suspect,
Kaayo Builders and Contractos Co. Ltd,Development,Construction of Awarsitu Water Supply,ICG/046/2013/2014/010,,044,n/a,15/5/2014,30/6/2015,Complete,"12,551,020.00"," 8,500,408.00 "," 4,050,612.00 ",COPY,PART PAYMENT,√  ,,
Kaayo timber yard ,Recurrent,Refurbishment and furniture of offices,2196960/219661," 2,310,250.00 ",017/016/006/007,23/05/14,,,Complete,"2,310,250.00",," 2,310,250.00 ",,original document,√  ,,
Kawadala Enterprise,Recurrent,Supply of promotional materials ,2635993," 750,000.00 ",14,4/7/2016,,,Complete,"750,000.00"," 250,000.00 "," 500,000.00 ",,Original,√  ,,
Kawadala Enterprises,Recurrent,Supply of mineral water,2273130," 33,200.00 ",009,1/16/2017,,,Complete,"33,200.00", -   ," 33,200.00 ",,original support documents attached,√  ,,
Kawadala Enterprises,Recurrent,"Supply of Computer, Printer, laptop, chair, tabe and safe balance Payment",2206009," 1,257,500.00 ",16,10/31/2016,,,Complete,"1,257,500.00", -   ," 1,256,918.00 ",,copy,√  ,,
Kawadala Enterprises,Recurrent,supply of of office Equipment,2206363," 574,000.00 ",017,not dated,,,Complete,"574,000.00", -   ," 574,000.00 ",,original,√  ,,
Kilimani Enterprises,Recurrent,Catering services during Jamuhuri day celebration and hire PA System balance payable,1201066," 1,700,000.00 ",108,11/16/2016,,,Complete,"1,700,000.00"," 900,000.00 "," 800,000.00 ",,original document,√  ,,
Kimu Electricals Service,Recurrent,Plumbing Works and installation at referal hospital,1201193,,,9/5/2016,,,Complete,,," 609,000.00 ",,,X,,
Kinna Young Investors ,Recurrent,Supplie of food,3110042," 3,938,000.00 ",070,6/22/2016,,,Complete,"3,938,000.00", -   ," 3,938,000.00 ",,original,√  ,,
Kithkin Investment,Recurrent,Car hire to Garbatulla and Marsabit ,ISO/CNTY/2014," 960,000.00 ",058,6/4/2014,,,Complete,"960,000.00", -   ," 960,000.00 ",,original document,√  ,,
Kithkin Investment,Recurrent,Car hire during human resource audit,ISO/CNTY/2015," 600,000.00 ",059,6/10/2014,,,Complete,"600,000.00", -   ," 600,000.00 ",,original document,√  ,,
Kiyyo General construction,Development,Construction of dispensary Bula Pesa ,not attached, nil ,not numbered,4/20/2017,,,Complete,"2,453,827.20", -   ," 2,453,827.00 ",,photo copy,√  ,,
Kobe Construction & Water Services Ltd,Development,Lot 2 pending bill ( construction and completion of isiolo  abattoir),ICG/053/2015/2016/05," 72,918,290.00 ",099,6/17/2017,,,Complete,"72,918,290.00"," 32,254,427.00 "," 40,663,863.00 ",,"33,372,034 previously paid",x,,
Kotile Construction company,Recurrent,Car hire administtion office Sep - Oct 2016,1335831," 500,000.00 ",201,11/2/2016,42644,42676,Complete,"500,000.00", -   ," 500,000.00 ",Complete,Original,√  ,,
Kud Jambo Ltd,Recurrent,Supply of office stationeries,3011816," 151,850.00 ",26,5/26/2017,,,Complete,"151,850.00", -   ," 151,850.00 ",,original,√  ,,
Kud Jambo Ltd,Recurrent,Supply of office stationeries,3011817," 191,550.00 ",27,5/26/2017,,,Complete,"191,550.00", -   ," 191,550.00 ",,original,√  ,,
Kulsa Ltd,Recurrent,Supply of heavy duty safe,2635874," 250,000.00 ",054,6/21/2584,,,Complete,"250,000.00", -   ," 250,000.00 ",,original support documents attached,√  ,,
Kulsa Ltd,Recurrent,supply of visitors chair 18 no.,2273379," 630,000.00 ",062,9/3/2015,,,Complete,"630,000.00", -   ," 630,000.00 ",,original document,√  ,Good delivered,
Kulsa Ltd,Recurrent,supply and mounting Public Address system Gov press car,1198271," 2,145,000.00 ",058,2/22/2016,,,Complete,"2,145,000.00", -   ," 2,145,000.00 ",,original document,√  ,,
Kulsa Ltd,Recurrent,Writing of Sign Boards,ICG/053/2014/2016/142," 600,000.00 ",010,4/11/2016,42453,42517,Complete,"600,000.00",," 600,000.00 ",,Original,√  ,,
Lajar Investment,Recurrent,Supply of protective materials,2159462,,2,Not Dated,,,Complete,,," 500,000.00 ",,,X,,
Lajar Investment Limited,Development,Cabling and Radio connection to new revenue offices,1201213," 1,426,230.00 ",028,5/8/2017,,,Complete,"1,426,230.00", -   ," 1,426,230.00 ",,original,√  ,,
Lakole Investment,Recurrent,supply of tyres balance ,2206115," 240,000.00 ",002,9/13/2016,,,Complete,"240,000.00"," 150,000.00 "," 90,000.00 ",,photocopy document,√  ,,
Lakole Investment,Recurrent,supply of tyres,2206410," 74,000.00 ",3,9/19/2016,,,Complete,"74,000.00", -   ," 74,000.00 ",,photocopy document,√  ,,
Lakole Investment,Recurrent,Supply of 7 no. Maxis tyres ,1198272," 266,000.00 ",89,12/14/2016,,,Complete,"266,000.00", -   ," 266,000.00 ",,original document,√  ,,
Lubo Demo,Recurrent,Office Rent-chari ward period Nov 2014 to Aug 2016 (22 months),Rent Agreement ," 440,000.00 ",Not Attached ,11/1/2014,41944,42522,Complete,"440,000.00"," 220,000.00 "," 220,000.00 ",Complete,Original,√  ,,
M/S Alrahma,,Ticket for D/G,1198157," 89,750.00 ",033,12/18/2015,,,Complete,"89,750.00",," 89,750.00 ",,Original,√  ,,
Mafta Investment Ltd,Recurrent,Car hire,1201299," 3,250,000.00 ",362,6/30/2016,,,Complete,"3,250,000.00", -   ," 3,250,000.00 ",,original document,√  ,,
Malows Construction Co. Ltd,Development,Construction of ECD classroom at Wabera Primary School,1335656," 1,200,000.24 ",N/A,5/24/2017,,,Complete,"1,200,000.24",," 1,200,000.24 ",,original,√  ,,
Marii Investment Limited,Recurrent,Supply of cleaning materials,2273050," 2,400,500.00 ",026,1/19/2016,,,,"2,400,500.00", -   ," 2,400,500.00 ",,original,√  ,,
Marii Investment Limited,Recurrent,Food Ratio,2206066," 2,285,000.00 ",021,9/17/2015,,,Complete,"2,285,000.00", -   ," 2,285,000.00 ",,original,√  ,,
Masaal  Construction Co. Ltd,Development,Equipping of burat livestock holding ground b/h water supply elevation of steel tank,Icg/051/2015/2016/05," 1,954,000.00 ",,,,,Complete,"1,954,000.00", -   ," 1,954,000.00 ",,Original,√  ,,
Masaal General Agencies,,Being variation of Duse and Bibi Road,1027232," 2,900,000.00 ",Not invoiced,n/a,n/a,42041,Complete,"2,900,000.00", -   ," 2,900,000.00 ",,Additions,√  ,,
Masaal General Agencies,Development,Dissilting Trench and Gabion instalation along Isiolo Sec School,ICG/EMEG/ELNINO/2016/2017/2," 4,500,000.00 ",11,4/21/2016,42464,,Complete,"4,500,000.00",," 4,500,000.00 ",,Original,√  ,,
masaal general agencies,Development,borehole repair and services at g/tulla,icg/043/2015/2016/001,,108,2/1/2017,25/5/2015,30/6/2015,Complete,"2,353,820.00", -   ," 2,353,820.00 ",ORIGINAL,,√  ,,
masaal general agencies,Development,Repair /fishing of BGD borehole ,ICG/062/2015/2016/304," 1,096,200.00 ",0011,6/25/2016,42509,42546,Complete,"600,100.00", -   ," 600,100.00 ",ORIGINAL,,√  ,,
Mayo Investment Limited,Development,flush floods control Bula Pesa ,ICG/070/2016/2017," 3,898,818.00 ",27,6/23/2016,42475,42541,Complete,"3,898,818.00",," 3,898,818.00 ",,Only invoice original,√  ,,
Mayus General Agencies,Development,Fencing of Kinna Market,ICG/224/2016/2017," 1,666,340.00 ",Not attached ,n/a,,,Complete,"1,666,340.00", -   ," 1,666,340.00 ",,original,√  ,,
Medabs Enterprises,Development,Relief food,2196798," 10,070,000.00 ",                2392,20/12/2016,,,Complete,"10,070,000.00", -   ," 10,070,000.00 ",,court case,√  ,,
Medabs Enterprises,Recurrent,court case on variation of contract,ICG/052/2014/2016/015," 14,497,152.50 ",,1/18/2017,,,Complete,"14,497,152.50", -   ," 14,497,152.50 ",,Court case,√  ,,
Merti General Contractors,Recurrent,Car hire farmers education tour to Iment South,1201207," 100,000.00 ",027,4/30/2017,,,Complete,"100,000.00",," 100,000.00 ",,,√  ,,
Merti General Contractors,Recurrent,"supply of slolar pumps, solar panel and digital cameras",2635888,,029,4/24/2017,,,Complete,,," 562,000.00 ",,missing voucher,X,,
Merti General Contractors,Recurrent,supply of dust coats and gum boots,2635889," 30,000.00 ",028,24/04/207,,,Complete,"30,000.00",," 30,000.00 ",,,√  ,,
Merti General Contractors,Recurrent,Hire of transport,1198472," 300,000.00 ",1502,11/30/2015,,,Complete,"300,000.00", -   ," 300,000.00 ",,original document,√  ,,
Merti General Contractors,Recurrent,Hire of transport,1198470," 225,000.00 ",1501,11/30/2015,,,Complete,"225,000.00", -   ," 225,000.00 ",,original document,√  ,,
Merti General Contractors,Recurrent,Hire of transport,1198473," 225,000.00 ",1503,12/2/2015,,,Complete,"225,000.00", -   ," 225,000.00 ",,original document,√  ,,
Merti General Contractors,,Civil works and Murraming of Waterways,ICG/045/2014/2016," 4,346,752.00 ",305,12/15/2015,,,Complete,"4,346,752.00"," 3,786,849.00 "," 559,903.00 ",,Photocopies,√  ,,
Meru Slopes Hotel,Recurrent,conference facilities Meeting Governor and MCAs,1027375," 336,600.00 ",2803,6/12/2014,,,Complete,"336,600.00", -   ," 336,600.00 ",,,√  ,,
Meru Slopes Hotel,Recurrent,conference facilities Planning Meeting,1027220," 990,000.00 ",2801,12/11/2014,,,Complete,"990,000.00", -   ," 990,000.00 ",,,√  ,,
Meta Meta Business Park,Recurrent,"Car hire to Garbatulla, Modagashe, Merti, Oldonyiro and Kipsing balance",1201146," 500,000.00 ",24,1/4/2016,,,Complete,"500,000.00",," 250,000.00 ",,Original,√  ,,
Micro Wave Communication Ltd,Recurrent,Office equipmeny,2196839," 1,262,700.00 ",025,6/25/2014,,,Complete,"1,262,700.00", -   ," 1,262,700.00 ",,original document,,,
Milsaded construction company Limited,Development,"Construction of 2 vaccination crushes, Longopito and Mlango",ICG/072/2015/2016/259," 2,474,773.00 ",250,9/6/2016,42514,42529,Complete,"989,909.00", -   ," 989,909.00 ",,only contructed 2 crushes and not as per contract,√  ,,
Miriad Option Limited,Development,Consultancy preparing Roads Sector strategic Plan,RFP/2014/2016/005," 3,690,750.00 ",161,11/16/2016,20/02/2015,not dated,unknown,"1,845,375.00",," 1,845,375.00 ",,,√  ,,
Mithega And Kariuki Advocates,Recurrent,Legal Fee Case No. 3 of 2016 and 478 of 2016,Not Attached,,MM/IS/234/2016,11/15/2016,,,Complete,"2,088,000.00"," 2,088,000.00 ", -   ,,paid in two instalments,X,,
Moha Corp Limited,Recurrent,Repair of Borehole at Merti Water supply,1201221,,25,5/17/2017,20/4/2017,30/6/2017,Complete,"1,226,120.00", -   ," 1,226,120.00 ",ORIGINAL,,√  ,,
Mohamed Ibrahim,Recurrent,Transport services,1201094," 80,000.00 ",99,1/1/2016,,,Complete,"80,000.00", -   ," 80,000.00 ",,original document,√  ,,
Monarch Insurance,Recurrent,Motor Vehicle Insurance Cover,,,,,,,Complete,, -   ," 2,780,879.00 ",,,X,,
Moshi trasporters,Recurrent,Car hire services office ,,,427,16/10/2014,,,Complete,"420,000.00",," 420,000.00 ",,0riginal document,√  ,,
Motortec Auto Garage,Recurrent,Repair of motor vehicle,1198256," 223,300.00 ",not attached,not dated,,,Complete,"223,300.00", -   ," 223,300.00 ",,,√  ,,
Mukira Mbaya & Co. Advocates,Recurrent,legal fee,not attached," 3,242,582.00 ",not attached,not dated,,,Complete,"3,242,582.00", -   ," 3,242,582.00 ",,court case,√  ,,
Muncom Enterprises,Development,Supply Relief food Oldonyiro Ward,2273136," 7,850,000.00 ",012,5/18/2017,,,Complete,"7,850,000.00", -   ," 7,850,000.00 ",,original document,√  ,,
Mushram contractors & General suppliers ltd,Development,construction of water trough and One feeding and one watering trough at feedlot Burat,not attached," 689,040.00 ",024,12/16/2016,,42718,Complete,"689,040.00", -   ," 689,040.00 ",,,√  ,,
Mushram Contractors and General Sup,Recurrent,supply of stationeries,2206359/60," 340,000.00 ",010/11/12,18/01/2017,,,Complete,"340,000.00", -   ," 340,000.00 ",,,√  ,,
Mushram Contractors And General Sup,Recurrent,supply of stationeries,,,,,,,Complete,"205,000.00",," 205,000.00 ",,,X,,
Mutindwa Enterprises Limited,Recurrent,Repair and servicing of motovehicle,1198148," 374,720.00 ",qotation 15334,3/15/2017,,,Complete,"374,720.00", -   ," 374,720.00 ",,original,√  ,,
Nachami Logistics Agency,Development,Relief food,2159480," 3,535,000.00 ",279,6/26/2016,,,Complete,"3,535,000.00", -   ," 3,535,000.00 ",,original document,√  ,,
Nachami Logistics Agency,Recurrent,supply of tyres,2159481," 500,000.00 ",386,6/26/2016,,,Complete,"500,000.00", -   ," 500,000.00 ",,original document,√  ,,
Nagayo Enterprises,Recurrent,"Car hire for use by CoS, CO and PA Governor on various dates",not attached," 2,187,000.00 ",346,3/4/2015,,,Complete,"2,187,000.00", -   ," 2,187,000.00 ",,original document,√  ,,
Nagayo Enterprises,Recurrent,Car hire,," 1,265,000.00 ",016,2/17/2015,,,Complete,"1,265,000.00"," 500,000.00 "," 765,000.00 ",,original document,√  ,,
Nagayo Enterprises Ltd,Recurrent,supply of building materials balance payment,2273124," 488,000.00 ",227,11/30/2016,,,Complete,"488,000.00", -   ," 488,000.00 ",,photocopy document,√  ,,
Nasmi Enterprises Ltd,Recurrent,Supply of Printed Materials to Isiolo County referal Hospital,2273349," 900,000.00 ",08,14/06/2017,14/05/2017,14/06/2017,,"900,000.00", -   ," 900,000.00 ",,original,√  ,,
Nasmi Investment Ltd,Recurrent,Supply of X-ray Films,2273324," 1,010,110.00 ",22,4/9/2017,42832,42834,Complete,"1,010,110.00", -   ," 1,010,110.00 ",,original,√  ,,
Nathir Air Travel & Tours Agency,Recurrent,Air travel Return ticket to UK & US for 2 px,1198042," 2,350,000.00 ",327,10/7/2015,,,Complete,"2,350,000.00", -   ," 2,350,000.00 ",,original document,√  ,,
Nathir Air Travel & Tours Agency,Recurrent,Air travel Return ticket to Austria for 3 px,1198041," 2,206,900.00 ",272,8/31/2015,,,Complete,"2,206,900.00", -   ," 2,206,900.00 ",,original document,√  ,,
Nathir Air Travel & Tours Agency,Recurrent,Air travel Return ticket to Malawi for 4 px,1198044," 1,998,780.00 ",356,11/25/2015,,,Complete,"1,998,780.00", -   ," 1,998,780.00 ",,original document,√  ,,
Nathir Air Travel & Tours Agency,Recurrent,Air travel Return ticket to Malawi for 3 px,1335745," 1,574,100.00 ",377,2/12/2016,,,Complete,"1,574,100.00", -   ," 1,574,100.00 ",,original document,√  ,,
Nathir Air Travel & Tours Agency,Recurrent,Air travel Return ticket to USA  for 1 px,1198039," 879,815.00 ",222,,,,Complete,"879,815.00", -   ," 879,815.00 ",,original document,√  ,,
Nation Media Group Ltd,Recurrent,Advertisement quarter page,1335612," 182,700.00 ",2475268,25/8/2016,,,Complete,"182,700.00", -   ," 182,700.00 ",,original support documents attached,√  ,,
Nation Media Group Ltd,Recurrent,Advertisement half page,Not Attached ," 135,720.00 ",2390828,28/6/2016,,,Complete,"135,720.00", -   ," 135,720.00 ",,original support documents attached,√  ,,
Nation Media Limited,Recurrent,Advertisement,," 294,730.00 ",,,,,Complete,"294,730.00"," 294,730.00 ", -   ,,paid,X,,
Nation Media Limited,Recurrent,Tender Prequalification Advertisement FY 2016/2017,1335730," 584,640.00 ",80019898,5/23/2016,,,Complete,"584,640.00", -   ," 584,640.00 ",,original,√  ,,
Nation Media Limited,Recurrent,Public Participation oon CFSP 2017 advertisement,1198285," 87,696.00 ",75021,12/21/2016,,,Complete,"87,696.00", -   ," 87,696.00 ",,original,√  ,,
Nation Media Limited,Recurrent,Tender Advertisement,1201178," 182,700.00 ",2451373,3/11/2016,,,Complete,"182,700.00", -   ," 182,700.00 ",,original,√  ,,
Nation Media Limited,Recurrent,Tender advertisement,1335702," 682,080.00 ",2461335,5/23/2016,,,Complete,"682,080.00", -   ," 682,080.00 ",,original,√  ,,
Ngelemian Co. Limited,Development,Construction of ECD classroom at Namelok primary school,ICG/047/2015/2016/96," 1,198,257.40 ",206,2/10/2017,,,Complete,"1,198,257.40",," 1,198,257.40 ",,original,√  ,,
North Coast Beach Hotel,Recurrent,conference facilities during Budget Committee Meeting ,975695,,91909,11/15/2015,,,Complete,, -   ," 353,000.00 ",,,X,,
North Track Co. Ltd,,Barakhat Shop Hopspital Perimeter Fence Road,ICG/437/2016/17," 1,198,177.00 ",350,13/07/2017,18/05/2017,43076,Complete,"1,198,177.00",," 1,198,177.00 ",,the whole contract amount was not paid,√  ,,
North Track Co. Ltd,,Grading and gravel ptching - Africal Inland Church Fairway Peterol Station to Insoi/NGO road,ICG/156/2016/2017," 4,987,509.00 ",339,31/12/2016,19/12/2016,20/12/2016,Complete,"4,987,509.00"," 4,987,509.00 ", -   ,,documents are scanned not originals,√  ,,
North Track Company Limited,Development,Access road rehabilitation,," 3,300,000.00 ",,,,,Complete,"3,300,000.00",," 3,300,000.00 ",,,√  ,,
North Track Company Limited,Development,Rehabilitation of Isiolo dumpsite ,ICG/232/2016/2017," 4,290,404.50 ",344,not dated,19/12/2016,43010,Complete,"4,290,404.50",," 4,290,404.50 ",,the whole LPO amount is not paid. The document are originals,√  ,,
North Track Company Limited,Recurrent,Water Trucking services,,,4412,N/A,24/4/2017,30/6/2017,Complete,"900,000.00", N/A ," 900,000.00 ",ORIGINAL,,√  ,,
Northern County Limited,Development,flush floods control Asharaff Village,ICG/101/2016/2018,,12,5/26/2016,42471,42543,Complete,"3,888,769.50",," 3,888,769.50 ",,Original,√  ,,
Northern Resources Dev. Agencies,Development,Consultancy services on review of CIDP 2013-2017,Contract Agreement," 2,470,000.00 ",017/019,not dated,,,Complete,"2,470,000.00", -   ," 2,470,000.00 ",,original,√  ,,
Notrhern Resourse Development Agencies,Development,Report on the study and assesment of Isiolo meru bundary,CGI/001/2016," 16,200,000.00 ",056,6/24/2016,,,Complete,"16,200,000.00", -   ," 16,200,000.00 ",,,√  ,,
Noyasu Construction Co Ltd,Development,Construction of toilet Block at Bulapesa Dispensary,1198008," 1,345,739.20 ",0010,4/22/2016,18/01/2016,21/04/2016,Complete,"1,345,739.20", -   ," 1,345,739.20 ",,original,√  ,,
Noyasu construction co. Ltd,Recurrent,Transport services,1198094," 2,900,000.00 ",26,9/30/2015,,,Complete,"2,900,000.00", -   ," 2,900,000.00 ",,court case,√  ,,
Noyasu Construction Co. Ltd,Recurrent,Transport services balance payment,1201126," 4,209,000.00 ",16,not dated,,,Complete,"4,209,000.00"," 1,000,000.00 "," 3,209,000.00 ",,court case,√  ,,
Noyasu Construction Co. Ltd,Recurrent,"Hire of transport services to Galfarsa, Sericho and Modogashe ",ISO/CNTY/2014," 185,000.00 ",039,1/26/2015,,,Complete,"185,000.00", -   ," 185,000.00 ",,original document,√  ,,
Ntarasi General Enterprises,Development,Relief food,2206058," 4,865,000.00 ",175,7/20/2016,,,Complete,"4,865,000.00", -   ," 4,865,000.00 ",,Original,√  ,,
Nuoki Construction,Recurrent,Rennovation of Biliq Dispensary,1335658," 954,717.70 ",NIL,NIL,,43075,,"954,717.70", -   ," 954,777.00 ",,original,√  ,,
Omina Bullding Construction  co.ltd,Development,Construction of Perimeter wall at isiolo County stadium,ICG/038/2013/2014/001," 21,610,034.00 ",005,5/13/2014,,,Complete,"6,327,740.00",," 6,327,740.00 ",,Original documents  attached.,√  ,,
One Stop Logistics International Limited,Recurrent,supply of motor vehicle oil and lubricants ,3011848/9," 1,000,000.00 ",033,5/25/2017,,,Complete,"1,000,000.00", -   ," 1,000,000.00 ",,original document,√  ,,
One Stop Logistics International Limited,Recurrent,supply of tyres and tubes,2273167," 212,500.00 ",029,2/23/2017,,,Complete,"212,500.00", -   ," 212,500.00 ",,original document,√  ,,
One Stop Logistics International Limited,Recurrent,supply of tyres and tubes for KAH 021Y and KCA 327 A,3011759," 560,040.00 ",032,6/7/2017,,,Complete,"560,040.00", -   ," 560,040.00 ",,original document,√  ,,
One Stop Logistics International Ltd,Recurrent,supply of fertilizer,3011834," 314,050.00 ",030,5/16/2017,,,Complete,"314,050.00",," 314,050.00 ",,,√  ,,
Osmoga Enterprises,Development,Road Grading Tuitoria Area - second payment,ICG/QTR/051/2014/2016," 4,005,500.90 ",No number,1/16/2017,42181,42212,Complete,"4,005,500.90"," 3,345,000.00 "," 660,500.90 ",,Original,√  ,,
Pelt Securities Services,Recurrent,Security services,ISO/CO/VOL7/17," 456,750.00 ",13006,4/30/2018,30/06/2017,,Complete,"456,750.00", -   ," 435,000.00 ",,photo copy,√  ,,
Penta medical Limited,Recurrent,Supply of drugs,2159172," 2,400,000.00 ",355,5/27/2016,,27/05/2016,Complete,"2,426,960.00", -   ," 2,400,000.00 ",,original,√  ,,
Pharmtrade pharmaceutical ltd,Recurrent,Supply of non pharm,2159162," 1,268,206.00 ",01/09/298,1/9/2016,NIL,nil,Complete,"1,268,206.00", -   ," 1,268,206.00 ",,photo copy,√  ,,
Pharmtrade pharmaceutical ltd,Recurrent,Supply of drugs,2273046," 2,484,000.00 ",09/03/09/284-INV,9/3/2016,nil,42463,Complete,"2,484,000.00", -   ," 2,484,000.00 ",,photo copy,√  ,,
Pharmtrade pharmaceutical ltd,Recurrent,Supply of drugs and pharmaceuticals,2635725," 2,600,000.00 ",09/08/09/283,8/9/2016,,,Complete,"2,600,000.00", -   ," 2,600,000.00 ",,original,√  ,,
Pinnie Insurance Brokers Limited,Recurrent,Staff Medical Cover,ICG/ISL/001/2015/17,,002,9/5/2016,,,Complete,,," 41,605,596.00 ",,,X,,
Proctor & Klein,Development,"Supply of Releif food - Ntrim,Elsa and Kakil",2159479," 3,565,000.00 ",279,6/26/2016,,,Complete,"3,565,000.00", -   ," 3,565,000.00 ",,original document,√  ,,
Proctor and klein,Recurrent,Furniture,2159458," 100,000.00 ",276,6/26/2016,,,,"100,000.00",," 100,000.00 ",,Original copy,√  ,,
Proctor and klein,Recurrent,protor and klein,2159482," 750,000.00 ",276,6/26/2016,,,,"750,000.00",," 750,000.00 ",,Original copy,√  ,,
Proflight Ltd,Recurrent,Air travel ,,,197/247/222,,,,Complete,, -   ," 4,404,206.00 ",,,X,,
Qasim Printers and Stationeries,Recurrent,Office Stationeries,2477169," 62,500.00 ",001,1/13/2015,,,Complete,"62,500.00", -   ," 62,500.00 ",,original,√  ,,
Ragambo Enterprises,Recurrent,Supply of cleaning materials,2273479," 170,520.00 ",1003,10/10/2016,,,Complete,"170,520.00", -   ," 170,520.00 ",,original document,√  ,,
Ranaha Investiment Ltd,Recurrent,Car hire distribution of relief food in Merti,12012217," 350,000.00 ",438,3/30/2017,,,Complete,"350,000.00", -   ," 350,000.00 ",,original document,√  ,,
Ranaha Investiment Ltd,Recurrent,car hire distribution of relief food in garbatulla,12012217," 175,000.00 ",437,30/03/2017,,,Complete,"175,000.00", -   ," 175,000.00 ",,original document,√  ,,
Ranaha Investiment Ltd,Recurrent,transport services,ISL/CNTY/012/023/019," 3,500,000.00 ",503,30/16/17,,,Complete,"3,500,000.00", -   ," 3,500,000.00 ",,original document,√  ,,
